课程号	课程名	总学分	总学时	理论学时	实验学时	开课学期	起止周	课容量	选课人数
BF002345	Web3D技术	3	54	28	26	2016-2017-1	1-14	39	0
BF002357	Linux操作系统	3	54	36	18	2016-2017-1	1-14	39	0
BF003309	算法分析与设计	3	54	36	18	2016-2017-1	1-14	39	0
BF067307	音频/视频传输技术	2	36	36		2016-2017-1	1-9	69	0
BF067311	网络性能评价	3	54	36	18	2016-2017-1	1-14	69	0
BK002001	计算机导论	1.5	24	24		2016-2017-1	5-16	90	0
BK002002	计算机导论实验	1	16		16	2016-2017-1	9-16	90	0
BK002003	C语言程序设计	2	32	32		2016-2017-1	5-18	90	0
BK002004	C语言程序设计实验	1	32		32	2016-2017-1	5-18	90	0
BK002013	电子技术基础	4	64	56	8	2016-2017-1	1-16	90	0
BK002015	软件工程	3	48	48		2016-2017-1	1-12	90	0
BK002019	软件工程实验	0.5	16		16	2016-2017-1	13	90	0
BK002021	数据结构	3	48	48		2016-2017-1	1-16	110	0
BK002023	数据结构实验	0.5	16		16	2016-2017-1	1-16	110	0
BK002024	数据库应用技术	2	32	32		2016-2017-1	1-16	85	0
BK002025	数据库应用技术实验	1	32		32	2016-2017-1	1-16	85	0
BK002026	数据库原理	3	48	48		2016-2017-1	1-12		0
BK076001	空间数据库原理与设计	2.5	40	40		2016-2017-1	1-10	38	0
BK076002	空间数据库原理与设计实验	0.5	16		16	2016-2017-1	3-10	38	0
BK090003	单片机原理与接口技术	3	48	48		2016-2017-1	9-16	52	0
BK090004	单片机原理与接口技术实验	1	32		32	2016-2017-1	1-16	52	0
BK090014	物联网案例设计分析	2	32	32		2016-2017-1	1-8	85	0
BK102003	数据库技术与应用	2	32	32		2016-2017-1	1-16	61	0
BK102004	数据库技术与应用实验	1	32		32	2016-2017-1	1-16	61	0
BK166001	Java程序设计	2	32	32		2016-2017-1	1-16	60	0
BK166002	Java程序设计实验	1	32		32	2016-2017-1	1-16	60	0

